ASVID	Taxon	ScientificName_unique
e5c19d7800b18015f3a917fc015fc42f	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Enhydrobacter	g__Enhydrobacter_unknown.1
65d43491988bfe557da4d86a5ba25dae	d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus	g__Staphylococcus_unknown.1
aaf720cb05ddb528efa9bacbd90f7c58	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae	f__Sphingomonadaceae_unknown.1
0a2c6fc0183c2ff6a349ffbbae784e36	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Nitrococcales; f__Nitrococcaceae; g__Arhodomonas; s__uncultured_bacterium	g__Arhodomonas_isolate
ce7a3311f620618b178bf59f2d140f84	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	g__Bacillus_unknown.42
cbd0d5c056928faae9bd087311b9accf	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae	f__Bacillaceae_unknown.2
08df7256913449556cabc909d5778985	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas	g__Stenotrophomonas_unknown.1
8ba4c5a32f0ec14e54ca74edf9165df7	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae; g__Vibrio	g__Vibrio_unknown.1
c3af4e14fe95c6759511b7c4f36eacf4	d__Bacteria; p__Deinococcota; c__Deinococci; o__Thermales; f__Thermaceae; g__Meiothermus	g__Meiothermus_unknown.3
c59e76b15159e23ab85ffd3e508a1839	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium	g__Novosphingobium_unknown.6
5a021f7952df3b5958ca82507b091209	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Sphingobacterium	g__Sphingobacterium_unknown.3
20b6cb22d0f2165dc2daf2a80c59db85	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Microscillaceae; g__uncultured; s__uncultured_Sphingobacteriales	f__Microscillaceae_isolate
bfcbe4e066a6a573e174833a9c875b2f	d__Bacteria; p__Patescibacteria; c__Microgenomatia; o__Candidatus_Amesbacteria; f__Candidatus_Amesbacteria; g__Candidatus_Amesbacteria; s__Candidatus_Amesbacteria	s__Candidatus_Amesbacteria
7acb2f81fcf9ef00681817804bb52ee6	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae	f__Comamonadaceae_unknown.10
27e8a289c9a8d4275addcc845ed80112	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Diplorickettsiales; f__Diplorickettsiaceae; g__Rickettsiella; s__uncultured_bacterium	g__Rickettsiella_isolate
c46dfe0fb885f767a01d33c1da138578	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Pedosphaerales; f__Pedosphaeraceae; g__SH3-11; s__uncultured_bacterium	g__SH3-11_isolate
39a01e40772f4ce27f1e7a4f2a03a3ff	d__Bacteria; p__Myxococcota; c__Polyangia; o__Haliangiales; f__Haliangiaceae; g__Haliangium; s__uncultured_sludge	g__Haliangium_isolate
69179c4a6011d0c9d30036cf18626520	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter	g__Acinetobacter_unknown.2
c4dfc7025f18312beb52d375675ab3d3	d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Planctomycetales	o__Planctomycetales_unknown
531f962e4c40c631c6ac8228a2af04c4	d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Planctomycetales; f__Schlesneriaceae; g__Schlesneria; s__uncultured_bacterium	g__Schlesneria_isolate
5d8f260d0ca634e0dcf75a891585d36d	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas	g__Pseudomonas_unknown.44
dfea66aa380ce3f029b33f4e51d25dda	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas	g__Pseudomonas_unknown.574
713388935903992c8f498fd9092d0be6	d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Blastocatellales; f__Blastocatellaceae; g__Blastocatella	g__Blastocatella_unknown
597ad434eb40e95e86c4afbc9b02532d	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Gammaproteobacteria_Incertae_Sedis; f__Unknown_Family; g__Candidatus_Ovatusbacter; s__uncultured_Methylococcaceae	g__Candidatus_Ovatusbacter_isolate
7710d54a09d8a82454636b213a773f9e	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas	g__Pseudomonas_unknown.50
7d217addfd80cb5393d81dae5f160367	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Schlegelella; s__uncultured_bacterium	g__Schlegelella_isolate.2
964f1749e0f748ed6a691d701071104f	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Geobacillus	g__Geobacillus_unknown.6
651a032a4d91ca43b13549f6057e0baf	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__AKYH767; g__AKYH767; s__uncultured_bacterium	g__AKYH767_isolate
e6c4a7258a21cb1ee250bdb71efc5c98	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Pedobacter	g__Pedobacter_unknown.14
