JarID	Rep	Row	Column	OD_rep	CV	OriginalCV_platecode					
17	Rep9	D	11	2	0.47	Rep910_Jar17					
18	Rep10	E	11	2	0.66	Rep910_Jar18					
19	Rep9	F	11	2	0.139	Rep910_Jar19					
21	Rep10	G	11	2	0.136	Rep910_Jar21					
22	Rep10	H	11	2	1.012	Rep910_Jar22					
24	Rep10	A	12	2	0.158	Rep910_Jar24					
28	Rep9	B	12	2	1.183	Rep910_Jar28					
NA	BLANK	C	12	2	0.141	BLANK					
NA	BLANK	D	12	2	0.132	BLANK					
NA	BLANK	E	12	2	0.133	BLANK					
NA	BLANK	F	12	2	0.127	BLANK					
NA	BLANK	G	12	2	0.122	BLANK					
NA	BLANK	H	12	2	0.12	BLANK					
1	Rep12	A	1	3	0.15	Rep1112_Jar1					
4	Rep11	B	1	3	1.168	Rep1112_Jar4					
6	Rep11	C	1	3	1.206	Rep1112_Jar6					
7	Rep12	D	1	3	0.156	Rep1112_Jar7					
9	Rep12	E	1	3	0.128	Rep1112_Jar9					
10	Rep11	F	1	3	1.011	Rep1112_Jar10					
13	Rep11	G	1	3	0.387	Rep1112_Jar13					
15	Rep11	H	1	3	0.129	Rep1112_Jar15					
16	Rep11	A	2	3	0.143	Rep1112_Jar16					
17	Rep12	B	2	3	1.094	Rep1112_Jar17					
18	Rep12	C	2	3	0.16	Rep1112_Jar18					
22	Rep12	D	2	3	0.145	Rep1112_Jar22					
27	Rep12	E	2	3	1.272	Rep1112_Jar27					
28	Rep11	F	2	3	0.164	Rep1112_Jar28					
NA	BLANK	G	2	3	0.127	BLANK					
NA	BLANK	H	2	3	0.115	BLANK					
1	Rep1	A	3	3	0.157	Rep12_Jar1					
5	Rep1	B	3	3	0.154	Rep12_Jar5					
8	Rep1	C	3	3	0.551	Rep12_Jar8					
9	Rep1	D	3	3	0.217	Rep12_Jar9					
10	Rep2	E	3	3	0.132	Rep12_Jar10					
12	Rep2	F	3	3	0.155	Rep12_Jar12					
13	Rep2	G	3	3	0.575	Rep12_Jar13					
14	Rep2	H	3	3	0.412	Rep12_Jar14					
15	Rep1	A	4	3	0.175	Rep12_Jar15					
17	Rep2	B	4	3	0.409	Rep12_Jar17					
20	Rep2	C	4	3	1.383	Rep12_Jar20					
24	Rep1	D	4	3	0.16	Rep12_Jar24					
27	Rep1	E	4	3	0.847	Rep12_Jar27					
28	Rep2	F	4	3	0.6	Rep12_Jar28					
NA	BLANK	G	4	3	0.115	BLANK					
4	Rep3	H	4	3	1	Rep34_Jar4					
7	Rep3	A	5	3	1.687	Rep34_Jar7					
10	Rep4	B	5	3	0.183	Rep34_Jar10					
13	Rep4	C	5	3	0.148	Rep34_Jar13					
14	Rep4	D	5	3	0.149	Rep34_Jar14					
15	Rep3	E	5	3	0.189	Rep34_Jar15					
16	Rep3	F	5	3	0.142	Rep34_Jar16					
21	Rep3	G	5	3	0.261	Rep34_Jar20					
22	Rep4	H	5	3	0.17	Rep34_Jar22					
23	Rep4	A	6	3	0.26	Rep34_Jar23					
24	Rep3	B	6	3	1.236	Rep34_Jar24					
26	Rep4	C	6	3	0.57	Rep34_Jar26					
27	Rep4	D	6	3	0.497	Rep34_Jar27					
28	Rep3	E	6	3	0.141	Rep34_Jar28					
NA	BLANK	F	6	3	0.122	BLANK					
2	Rep6	G	6	3	0.305	Rep56_Jar2					
3	Rep5	H	6	3	0.116	Rep56_Jar3					
5	Rep5	A	7	3	0.167	Rep56_Jar5					
6	Rep6	B	7	3	0.346	Rep56_Jar6					
9	Rep6	C	7	3	0.148	Rep56_Jar9					
10	Rep6	D	7	3	0.484	Rep56_Jar10					
11	Rep5	E	7	3	1.238	Rep56_Jar11					
13	Rep5	F	7	3	0.155	Rep56_Jar13					
15	Rep5	G	7	3	0.579	Rep56_Jar15					
21	Rep5	H	7	3	0.135	Rep56_Jar21					
24	Rep6	A	8	3	0.149	Rep56_Jar24					
25	Rep5	B	8	3	0.14	Rep56_Jar25					
26	Rep6	C	8	3	0.327	Rep56_Jar26					
