SampleID	JarID	RichLevel	introRich	Rep	DateStart	Inhibitory	Type	13C	20A	2E	2F	2H	32E	33B	33D	34B	34F	35A	35E	37E	37H	45D	50A	50B	BTB_45	BTB_47	20C	20D	21C	24C	24D	24L	25A	25C	32G	35B	36A	36E	36G	40A	40B	45E	47C	49C	54G	BTB_28	BTB_59	volPellet	cClean	sampleID_qPCR
Con_2020-09-28_0_Rep10	24	0	0	Rep10	2020-09-28	Con	CV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	R10_J24_Pre
Inhib_2020-09-28_1_Rep10	16	1	1	Rep10	2020-09-28	Inhib	Bd	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	R10_J16_Bd
Inhib_2020-09-28_1_Rep10	18	1	1	Rep10	2020-09-28	Inhib	CV	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	R10_J18_Pre
Inhib_2020-09-28_3_Rep10	25	3	3	Rep10	2020-09-28	Inhib	Bd	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	R10_J25_Bd
Inhib_2020-09-28_3_Rep10	4	3	3	Rep10	2020-09-28	Inhib	CV	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	R10_J4_Pre
Inhib_2020-09-28_10_Rep10	3	10	10	Rep10	2020-09-28	Inhib	Bd	TRUE	TRUE	NA	NA	NA	TRUE	TRUE	NA	TRUE	NA	TRUE	TRUE	NA	NA	TRUE	NA	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	R10_J3_Bd
Inhib_2020-09-28_10_Rep10	5	10	10	Rep10	2020-09-28	Inhib	CV	TRUE	TRUE	NA	NA	NA	TRUE	TRUE	NA	TRUE	NA	TRUE	TRUE	NA	NA	TRUE	NA	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	R10_J5_Pre
Non_2020-09-28_1_Rep10	1	1	1	Rep10	2020-09-28	Non	Bd	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	R10_J1_Bd
Non_2020-09-28_1_Rep10	21	1	1	Rep10	2020-09-28	Non	CV	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	R10_J21_Pre
Non_2020-09-28_3_Rep10	27	3	3	Rep10	2020-09-28	Non	Bd	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	TRUE	NA	FALSE	R10_J27_Bd
