sampleID	Rep	JarID	zoosp_dens_micro	zoosp_count_sd_micro	max_zoosp_count_micro	min_zoosp_count_micro	pinpricks_present	clouds_present	Bd_true_zero
R6_J23_Bd	Rep6	23	0	0	0	0	FALSE	FALSE	TRUE
R6_J27_Bd	Rep6	27	0	0	0	0	FALSE	FALSE	FALSE
R6_J7_Bd	Rep6	7	0	0	0	0	FALSE	FALSE	FALSE
R7_J13_Bd	Rep7	13	0	0	0	0	FALSE	FALSE	TRUE
R7_J15_Bd	Rep7	15	12.5831487678539	35.9787076687367	23	0	TRUE	FALSE	FALSE
R7_J17_Bd	Rep7	17	221.456268797884	336.040563027516	170	0	TRUE	TRUE	FALSE
R7_J19_Bd	Rep7	19	0	0	0	0	FALSE	FALSE	TRUE
R7_J22_Bd	Rep7	22	0	0	0	0	TRUE	FALSE	FALSE
R7_J23_Bd	Rep7	23	0	0	0	0	FALSE	FALSE	FALSE
R7_J27_Bd	Rep7	27	0	0	0	0	FALSE	FALSE	FALSE
R8_J1_Bd	Rep8	1	0	0	0	0	FALSE	FALSE	FALSE
R8_J11_Bd	Rep8	11	454.212536324794	687.9171340357	405	0	FALSE	FALSE	FALSE
R8_J16_Bd	Rep8	16	0	0	0	0	FALSE	FALSE	FALSE
R8_J2_Bd	Rep8	2	4.00372915340807	12.5701429258588	8	0	FALSE	FALSE	FALSE
R8_J24_Bd	Rep8	24	1.12604882439602	4.50419529758408	3	0	FALSE	FALSE	FALSE
R8_J3_Bd	Rep8	3	0	0	0	0	FALSE	FALSE	FALSE
R8_J6_Bd	Rep8	6	2.40223749204484	6.7336147504275	4	0	TRUE	FALSE	FALSE
R9_J12_Bd	Rep9	12	221.406222183466	359.031097167646	174	0	TRUE	FALSE	FALSE
R9_J13_Bd	Rep9	13	0	0	0	0	FALSE	FALSE	TRUE
R9_J14_Bd	Rep9	14	0	0	0	0	FALSE	FALSE	TRUE
R9_J15_Bd	Rep9	15	498.019420804481	934.48856300457	624	0	TRUE	TRUE	FALSE
R9_J20_Bd	Rep9	20	0	0	0	0	FALSE	FALSE	FALSE
R9_J26_Bd	Rep9	26	0	0	0	0	FALSE	FALSE	FALSE
R9_J7_Bd	Rep9	7	0	0	0	0	FALSE	FALSE	FALSE
