sampleID	Rep	JarID	ave_zoosp_size_micro	med_zoosp_size_micro	sd_zoosp_size_micro	min_zoosp_size_micro	max_zoosp_size_micro	n_zoosp_size_micro
R4_J17_Bd	Rep4	17	13.9207873517001	15.1082453252984	4.55074632520486	5.039702041714	20.3080471932784	11
R4_J2_Bd	Rep4	2	15.6208371872293	15.7908272011835	3.66384505505855	4.43217605046238	27.3455545776526	11
R4_J3_Bd	Rep4	3	14.0941943317375	13.865701943191	5.18990544233383	4.01461708504666	28.1217138807616	11
R4_J5_Bd	Rep4	5	16.3403157932709	16.5152522478947	4.34292354248111	5.31577969488134	32.6937227292104	11
R4_J8_Bd	Rep4	8	13.0655111556475	11.6889358316793	5.07456851306374	0	22.9222029270631	11
R4_J9_Bd	Rep4	9	15.3514114950491	16.5343556190481	4.29397888528162	4.12332205490988	22.892238756066	11
R5_J1_Bd	Rep5	1	10.077059656571	8.65251801826088	4.37607070701913	6.93869350008281	26.3141664782189	11
R5_J12_Bd	Rep5	12	8.03068874150094	6.4096173934158	4.6122868759854	1.73472186073429	19.1600994383803	11
R5_J14_Bd	Rep5	14	8.2532347443467	8.0910534549174	2.04281640830879	4.13466771188936	14.6324065321505	11
R5_J18_Bd	Rep5	18	9.54115134243935	9.39522217899452	2.34554484741435	4.84517735880087	15.0205831551322	11
R5_J4_Bd	Rep5	4	7.08576683129829	6.61829990469648	1.5393075419571	5.83438288741346	8.80461770178493	11
R5_J8_Bd	Rep5	8	10.2837921457909	9.94839568531453	2.57814652281128	5.55704460569284	17.1002323823281	11
R6_J16_Bd	Rep6	16	11.3175352655989	11.3175352655989	2.03540675952341	9.87828534346698	12.7567851877309	11
R6_J19_Bd	Rep6	19	6.10847262632371	5.90749934350344	0.871519837001838	5.28164575251573	7.33724606577223	11
R6_J22_Bd	Rep6	22	16.0720314104675	16.8406398717805	7.19944565322435	3.02948435637543	32.6285579301488	11
R6_J7_Bd	Rep6	7	14.9414070623041	16.4607058201087	5.94624090076144	3.03569052771463	24.7221865582862	11
R7_J13_Bd	Rep7	13	12.7140450312035	15.357607350279	5.5285950441826	4.42684262196775	15.7141228022881	11
R7_J17_Bd	Rep7	17	8.08662142971138	7.54699526275184	4.73975081025962	1.74820088911162	31.8907993122011	11
R7_J22_Bd	Rep7	22	3.45810845428487	3.15554721170298	0.991757424029113	1.70805471826115	6.40088996497004	11
R7_J23_Bd	Rep7	23	3.75667681843133	3.44786757892214	1.40771993818605	1.13505055508384	6.41844179328872	11
R7_J27_Bd	Rep7	27	4.80777724245632	3.40912749376571	2.7634122103464	2.06733385594468	11.94911017079	11
R8_J11_Bd	Rep8	11	10.6802282253586	10.5183452485358	3.37831632333178	3.46934675004141	26.3178513924515	11
R8_J16_Bd	Rep8	16	7.45175546820493	7.30408183767836	1.40084445721792	4.38194485118571	11.9621043420314	11
R8_J2_Bd	Rep8	2	8.28128582984039	7.74859885984875	2.5073956171222	4.94554278592704	20.4262553630048	11
R8_J24_Bd	Rep8	24	7.61101025774839	7.52915252015163	2.25567917536065	4.85729878719775	17.7817475725143	11
R8_J6_Bd	Rep8	6	12.4319955543126	11.1903087531453	5.77564990559871	6.30983379485268	24.1644069091754	11
R9_J12_Bd	Rep9	12	5.7715137188704	5.31577969488134	2.82013397854202	1.99916294264062	31.0071956677821	11
R9_J14_Bd	Rep9	14	15.9229507707095	15.9229507707095	3.15136973658997	13.6945958599407	18.1513056814783	11
R9_J15_Bd	Rep9	15	7.94220136967683	7.97202102806004	2.46033278484113	2.52309956366737	15.7923787440183	11
R9_J20_Bd	Rep9	20	5.00154491269536	4.25016068165483	2.88202100092281	2.13337139785088	17.5293309475776	11
R9_J7_Bd	Rep9	7	16.6014598466533	16.6014598466533	5.97477321085679	12.3766571932047	20.8262625001018	11
