Rep	JarID	M_ID	ZS_ID	Diameter	Notes	X	conv_pix_in_0.1mm	diameter_mm	diameter_um	sampleID
Rep1	16	1	90	81.154			1031.2316	0.0078696192009632	7.8696192009632	R1_J16_Bd
Rep1	16	1	91	69.376			1031.2316	0.00672748973169558	6.72748973169558	R1_J16_Bd
Rep1	16	1	92	80.802			1031.2316	0.00783548525859758	7.83548525859758	R1_J16_Bd
Rep1	16	1	93	72.918			1031.2316	0.00707096252674957	7.07096252674957	R1_J16_Bd
Rep1	16	1	94	84.528			1031.2316	0.00819680079625178	8.19680079625178	R1_J16_Bd
Rep1	16	1	95	95.383			1031.2316	0.00924942563823684	9.24942563823684	R1_J16_Bd
Rep1	16	1	96	90			1031.2316	0.0087274284457536	8.7274284457536	R1_J16_Bd
Rep1	16	1	97	101.074			1031.2316	0.00980129003029	9.80129003028999	R1_J16_Bd
Rep1	16	1	98	98.407			1031.2316	0.00954266723401416	9.54266723401416	R1_J16_Bd
Rep1	16	1	99	73.246			1031.2316	0.00710276915486298	7.10276915486298	R1_J16_Bd
Rep1	16	1	100	84.22			1031.2316	0.00816693359668187	8.16693359668187	R1_J16_Bd
Rep1	16	1	101	61.911			1031.2316	0.0060035980278339	6.0035980278339	R1_J16_Bd
Rep1	16	2	1	117.273			1031.2316	0.0113721301790985	11.3721301790985	R1_J16_Bd
Rep1	16	2	2	88.769			1031.2316	0.00860805661890113	8.60805661890113	R1_J16_Bd
Rep1	16	2	3	94.668			1031.2316	0.00918009106780669	9.18009106780669	R1_J16_Bd
Rep1	16	2	4	101.98			1031.2316	0.00988914614331058	9.88914614331058	R1_J16_Bd
Rep1	16	2	5	103.078			1031.2316	0.00999562077034877	9.99562077034877	R1_J16_Bd
Rep1	16	2	6	90.758			1031.2316	0.00880093278755228	8.80093278755228	R1_J16_Bd
Rep1	16	2	7	103.325			1031.2316	0.010019572712861	10.019572712861	R1_J16_Bd
Rep1	16	2	8	107.201			1031.2316	0.0103954339645915	10.3954339645915	R1_J16_Bd
Rep1	16	2	9	115.412			1031.2316	0.0111916663531257	11.1916663531257	R1_J16_Bd
Rep1	16	2	10	105.119			1031.2316	0.010193539453213	10.193539453213	R1_J16_Bd
Rep1	16	2	11	96.13			1031.2316	0.0093218632943366	9.3218632943366	R1_J16_Bd
Rep1	16	2	12	107.787			1031.2316	0.010452259220916	10.452259220916	R1_J16_Bd
Rep1	16	2	13	110.023			1031.2316	0.0106690873320794	10.6690873320794	R1_J16_Bd
Rep1	16	2	14	97.801			1031.2316	0.00948390254914609	9.48390254914609	R1_J16_Bd
Rep1	16	2	15	86.833			1031.2316	0.00842031993589025	8.42031993589025	R1_J16_Bd
Rep1	16	2	16	82.928			1031.2316	0.00804164651277172	8.04164651277172	R1_J16_Bd
Rep1	16	2	17	120.104			1031.2316	0.011646656289431	11.646656289431	R1_J16_Bd
Rep1	16	2	18	86.833			1031.2316	0.00842031993589025	8.42031993589025	R1_J16_Bd
Rep1	16	2	19	111.267			1031.2316	0.0107897197874852	10.7897197874852	R1_J16_Bd
Rep1	16	2	20	70.544			1031.2316	0.00684075235863602	6.84075235863602	R1_J16_Bd
Rep1	16	2	21	94.81			1031.2316	0.00919386101046554	9.19386101046554	R1_J16_Bd
Rep1	16	2	22	96.54			1031.2316	0.00936162157947836	9.36162157947836	R1_J16_Bd
Rep1	16	2	23	100.603			1031.2316	0.00975561648809055	9.75561648809055	R1_J16_Bd
Rep1	16	2	24	82.759			1031.2316	0.00802525834157914	8.02525834157914	R1_J16_Bd
