Run	Date	Well	Well_Type	dR_Last	Threshold_dR	Ct_dR	Quantity_copies	RSq_dR	Slope_dR	Efficiency_percent
Bact_1-2	18-Nov-20	H1	Unknown	38965.676	5504.753	11.18	2.08E+08	0.979	-3.102	110.1
Bact_1-2	18-Nov-20	H2	Unknown	36870.262	5504.753	11.56	1.57E+08	0.979	-3.102	110.1
Bact_1-2	18-Nov-20	H4	Unknown	-3128.679	5504.753	18.32	1.04E+06	0.979	-3.102	110.1
Bact_1-2	18-Nov-20	H5	Unknown	40737.447	5504.753	16.83	3.14E+06	0.979	-3.102	110.1
Bact_3-12_Rep1	18-Nov-20	A5	NTC	37608.446	4633.448	30.66	2.30E+01	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	A6	NTC	47412.265	4633.448	31.06	1.73E+01	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	A8	NTC	36047.472	4633.448	31.01	1.80E+01	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	A9	NTC	39682.807	4633.448	30.52	2.54E+01	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	A10	NTC	40375.622	4633.448	30.55	2.48E+01	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	B10	NTC	33346.99	4633.448	30.44	2.68E+01	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	C9	NTC	30808.424	4633.448	29.84	4.09E+01	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	A2	Standard	44085.568	4633.448	7.41	1.95E+08	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	B2	Standard	32572.515	4633.448	11.2	1.95E+07	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	D2	Standard	32967.707	4633.448	17.69	1.95E+05	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	E2	Standard	37706.716	4633.448	21.42	1.95E+04	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	F2	Standard	35873.121	4633.448	25.15	1.95E+03	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	G2	Standard	34259.77	4633.448	28.05	1.95E+02	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	H2	Standard	35878.143	4633.448	29.71	1.95E+01	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	A3	Unknown	37879.083	4633.448	16.13	6.05E+05	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	A4	Unknown	38716.661	4633.448	23.94	2.55E+03	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	A7	Unknown	37656.811	4633.448	16.96	3.38E+05	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	A11	Unknown	36590.151	4633.448	29.2	6.39E+01	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	A12	Unknown	37668.244	4633.448	29.5	5.17E+01	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	B3	Unknown	33860.408	4633.448	22.87	5.36E+03	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	B4	Unknown	33107.795	4633.448	25.3	9.81E+02	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	B5	Unknown	37075.817	4633.448	29.4	5.54E+01	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	B6	Unknown	33016.808	4633.448	12.32	8.71E+06	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	B7	Unknown	31066.324	4633.448	13.38	4.15E+06	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	B8	Unknown	32327.193	4633.448	12.03	1.07E+07	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	B9	Unknown	31864.54	4633.448	11.71	1.33E+07	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	B11	Unknown	33827.453	4633.448	11.7	1.35E+07	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	B12	Unknown	33540.291	4633.448	12.82	6.14E+06	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	C3	Unknown	20179.608	4633.448	10.71	2.69E+07	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	C4	Unknown	28928.256	4633.448	13.36	4.19E+06	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	C5	Unknown	29669.78	4633.448	14.92	1.41E+06	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	C6	Unknown	32515.317	4633.448	11.17	1.94E+07	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	C7	Unknown	29153.24	4633.448	15.94	6.88E+05	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	C8	Unknown	22569.917	4633.448	10.72	2.66E+07	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	C10	Unknown	29976.277	4633.448	13.02	5.32E+06	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	C11	Unknown	19223.471	4633.448	11.09	2.06E+07	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	C12	Unknown	30984.605	4633.448	16.24	5.58E+05	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	D3	Unknown	27792.57	4633.448	14.48	1.91E+06	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	D4	Unknown	25831.439	4633.448	11.79	1.26E+07	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	D5	Unknown	32101.353	4633.448	21.27	1.65E+04	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	D6	Unknown	25259.087	4633.448	10.87	2.40E+07	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	D7	Unknown	29137.361	4633.448	12.22	9.35E+06	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	D8	Unknown	32489.388	4633.448	22.65	6.29E+03	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	D9	Unknown	33215.804	4633.448	27.49	2.12E+02	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	D10	Unknown	32869.769	4633.448	23.29	4.01E+03	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	D11	Unknown	28022.635	4633.448	13.36	4.20E+06	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	D12	Unknown	32448.282	4633.448	13.45	3.93E+06	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	E3	Unknown	22689.79	4633.448	10.76	2.59E+07	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	E4	Unknown	31022.64	4633.448	12.77	6.33E+06	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	E5	Unknown	32367.621	4633.448	22.26	8.22E+03	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	E6	Unknown	32340.592	4633.448	12.62	7.07E+06	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	E7	Unknown	33819.46	4633.448	22.66	6.21E+03	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	E8	Unknown	36372.022	4633.448	31.22	1.55E+01	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	E9	Unknown	19026.329	4633.448	11.33	1.74E+07	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	E10	Unknown	33409.747	4633.448	14.33	2.13E+06	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	E11	Unknown	30460.396	4633.448	13.77	3.16E+06	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	E12	Unknown	30541.935	4633.448	11.34	1.72E+07	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	F3	Unknown	25384.28	4633.448	12.2	9.47E+06	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	F4	Unknown	31937.472	4633.448	21.84	1.11E+04	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	F5	Unknown	18094.759	4633.448	10.14	4.00E+07	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	F6	Unknown	26175.905	4633.448	11.57	1.48E+07	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	F7	Unknown	28334.721	4633.448	12.12	1.00E+07	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	F8	Unknown	29752.348	4633.448	13.36	4.19E+06	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	F9	Unknown	31350.486	4633.448	19.61	5.27E+04	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	F10	Unknown	27432.061	4633.448	10.4	3.35E+07	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	F11	Unknown	26274.1	4633.448	13.18	4.75E+06	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	F12	Unknown	33972.501	4633.448	16.63	4.26E+05	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	G3	Unknown	26104.344	4633.448	11.64	1.40E+07	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	G4	Unknown	33101.949	4633.448	25.82	6.83E+02	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	G5	Unknown	19185.681	4633.448	9.72	5.38E+07	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	G6	Unknown	35182.955	4633.448	16.12	6.10E+05	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	G7	Unknown	33294.872	4633.448	23.39	3.73E+03	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	G8	Unknown	28602.9	4633.448	10.26	3.67E+07	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	G9	Unknown	34015.932	4633.448	15.14	1.20E+06	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	G10	Unknown	33778.486	4633.448	19.6	5.30E+04	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	G11	Unknown	32929.471	4633.448	21.89	1.07E+04	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	G12	Unknown	39154.601	4633.448	15.09	1.25E+06	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	H3	Unknown	35644.023	4633.448	17.63	2.12E+05	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	H4	Unknown	41768.436	4633.448	25.64	7.71E+02	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	H5	Unknown	31922.161	4633.448	11.94	1.13E+07	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	H6	Unknown	35539.21	4633.448	18.56	1.10E+05	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	H7	Unknown	40734.264	4633.448	10.85	2.44E+07	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	H8	Unknown	36671.217	4633.448	13.49	3.84E+06	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	H9	Unknown	35173.617	4633.448	14.73	1.60E+06	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	H10	Unknown	32820.027	4633.448	10.88	2.38E+07	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	H11	Unknown	30766.159	4633.448	9.67	5.58E+07	0.994	-3.288	101.4
Bact_3-12_Rep1	18-Nov-20	H12	Unknown	36993.765	4633.448	28.67	9.25E+01	0.994	-3.288	101.4
Bact_3-12_Rep2	19-Nov-20	E2	NTC	36769.781	5191.145	33.04	6.81	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	E5	NTC	34029.178	5191.145	31.16	2.45E+01	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	E10	NTC	33659.327	5191.145	30.96	2.80E+01	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	E11	NTC	34706.219	5191.145	31.39	2.10E+01	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	G3	NTC	34197.617	5191.145	31.22	2.35E+01	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	A7	Standard	47217.303	5191.145	7.59	1.95E+08	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	B7	Standard	36651.422	5191.145	11.15	1.95E+07	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	C7	Standard	35191.798	5191.145	14.33	1.95E+06	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	D7	Standard	33366.184	5191.145	17.94	1.95E+05	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	E7	Standard	36715.87	5191.145	21.56	1.95E+04	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	F7	Standard	34917.342	5191.145	25.11	1.95E+03	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	G7	Standard	35651.977	5191.145	28.63	1.95E+02	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	H7	Standard	37924.798	5191.145	30.66	1.95E+01	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	A2	Unknown	32439.524	5191.145	11.33	1.72E+07	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	A3	Unknown	27888.57	5191.145	11.41	1.63E+07	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	A4	Unknown	39229.05	5191.145	13.66	3.54E+06	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	A5	Unknown	34667.196	5191.145	12.95	5.73E+06	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	A6	Unknown	64935.288	5191.145	11.48	1.55E+07	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	A8	Unknown	31205.335	5191.145	10.9	2.30E+07	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	A9	Unknown	40798.353	5191.145	13.16	4.95E+06	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	A10	Unknown	40754.078	5191.145	22.68	7.74E+03	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	A11	Unknown	38109.427	5191.145	12.82	6.23E+06	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	A12	Unknown	39357.14	5191.145	23.68	3.93E+03	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	B2	Unknown	33401.066	5191.145	12.49	7.83E+06	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	B3	Unknown	35778.584	5191.145	19.81	5.42E+04	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	B4	Unknown	31621.759	5191.145	10.95	2.23E+07	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	B5	Unknown	31178.705	5191.145	12.8	6.34E+06	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	B6	Unknown	34416.364	5191.145	17.84	2.06E+05	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	B8	Unknown	35188.695	5191.145	12.38	8.41E+06	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	B9	Unknown	37536.066	5191.145	22.03	1.21E+04	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	B10	Unknown	21005.221	5191.145	10.49	3.03E+07	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	B11	Unknown	31405.044	5191.145	11.66	1.38E+07	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	B12	Unknown	37533.994	5191.145	12.94	5.75E+06	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	C2	Unknown	27367.195	5191.145	10.91	2.28E+07	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	C3	Unknown	34874.494	5191.145	14.66	1.79E+06	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	C4	Unknown	34614.688	5191.145	19.99	4.80E+04	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	C5	Unknown	32373.381	5191.145	22.61	8.10E+03	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	C6	Unknown	32719.833	5191.145	14.96	1.46E+06	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	C8	Unknown	33883.779	5191.145	10.71	2.61E+07	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	C9	Unknown	33937.176	5191.145	26.02	8.00E+02	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	C10	Unknown	22686.389	5191.145	9.41	6.32E+07	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	C11	Unknown	35404.458	5191.145	16.64	4.67E+05	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	C12	Unknown	58579.858	5191.145	22.14	1.11E+04	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	D2	Unknown	33240.656	5191.145	13.79	3.23E+06	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	D3	Unknown	33617.502	5191.145	15.34	1.13E+06	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	D4	Unknown	26796.608	5191.145	11.43	1.61E+07	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	D5	Unknown	25311.646	5191.145	10.66	2.70E+07	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	D6	Unknown	34838.724	5191.145	28.82	1.20E+02	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	D8	Unknown	33487.62	5191.145	17.84	2.07E+05	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	D9	Unknown	35254.606	5191.145	25.48	1.16E+03	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	D10	Unknown	30700.338	5191.145	12.42	8.19E+06	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	D11	Unknown	34401.448	5191.145	19.35	7.41E+04	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	D12	Unknown	27613.112	5191.145	10.75	2.56E+07	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	E3	Unknown	34748.41	5191.145	13.34	4.40E+06	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	E4	Unknown	33901.376	5191.145	13.18	4.89E+06	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	E6	Unknown	34354.016	5191.145	30.9	2.91E+01	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	E8	Unknown	37469.301	5191.145	16.06	6.94E+05	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	E9	Unknown	35597.853	5191.145	23.28	5.14E+03	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	E12	Unknown	37521.545	5191.145	16.8	4.20E+05	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	F2	Unknown	31739.839	5191.145	11.85	1.21E+07	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	F3	Unknown	31980.966	5191.145	11.48	1.55E+07	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	F4	Unknown	31956.047	5191.145	29.64	6.86E+01	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	F5	Unknown	31449.551	5191.145	11.32	1.73E+07	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	F6	Unknown	31871.006	5191.145	11.98	1.11E+07	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	F8	Unknown	34507.454	5191.145	20.87	2.64E+04	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	F9	Unknown	35181.326	5191.145	24.42	2.38E+03	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	F10	Unknown	33853.473	5191.145	27.17	3.66E+02	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	F11	Unknown	33392.254	5191.145	13.16	4.95E+06	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	F12	Unknown	31554.515	5191.145	14.41	2.13E+06	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	G2	Unknown	23669.325	5191.145	10.65	2.72E+07	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	G4	Unknown	32651.926	5191.145	12.73	6.66E+06	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	G5	Unknown	29424.146	5191.145	11.93	1.14E+07	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	G6	Unknown	33783.751	5191.145	16.96	3.77E+05	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	G8	Unknown	27917.479	5191.145	10.68	2.67E+07	0.997	-3.391	97.2
Bact_3-12_Rep2	19-Nov-20	G9	Unknown	30343.201	5191.145	12.86	6.07E+06	0.997	-3.391	97.2
