Segment	Ramp/Plateau	Ramp/Plateau #	Well	Dye	Cycle #	Fluorescence	Temperature
 1	R	 3	 2	SYBR	  1	     7098	93.5
 1	R	 3	 2	SYBR	  1	     7130	93.7
 1	R	 3	 2	SYBR	  1	     7018	93.7
 1	R	 3	 2	SYBR	  1	     6962	93.7
 1	R	 3	 2	SYBR	  1	     6937	94.0
 1	R	 3	 2	SYBR	  1	     6933	94.0
 1	R	 3	 2	SYBR	  1	     6802	94.2
 1	R	 3	 2	SYBR	  1	     6807	94.2
 1	R	 3	 2	SYBR	  1	     6774	94.4
 1	R	 3	 2	SYBR	  1	     6774	94.5
 1	R	 3	 2	SYBR	  1	     6642	94.7
 1	R	 3	 2	SYBR	  1	     6702	95.0
 1	R	 3	 3	SYBR	  1	    63047	54.2
 1	R	 3	 3	SYBR	  1	    63191	54.5
 1	R	 3	 3	SYBR	  1	    63384	54.6
 1	R	 3	 3	SYBR	  1	    63387	54.7
 1	R	 3	 3	SYBR	  1	    63311	54.7
 1	R	 3	 3	SYBR	  1	    63468	55.0
 1	R	 3	 3	SYBR	  1	    63320	55.1
 1	R	 3	 3	SYBR	  1	    63330	55.2
 1	R	 3	 3	SYBR	  1	    63315	55.2
 1	R	 3	 3	SYBR	  1	    63376	55.5
 1	R	 3	 3	SYBR	  1	    63189	55.6
 1	R	 3	 3	SYBR	  1	    63351	55.7
 1	R	 3	 3	SYBR	  1	    63540	55.7
 1	R	 3	 3	SYBR	  1	    63505	56.0
 1	R	 3	 3	SYBR	  1	    63550	56.1
 1	R	 3	 3	SYBR	  1	    63377	56.2
 1	R	 3	 3	SYBR	  1	    63652	56.2
 1	R	 3	 3	SYBR	  1	    63518	56.5
 1	R	 3	 3	SYBR	  1	    63492	56.6
 1	R	 3	 3	SYBR	  1	    63455	56.7
 1	R	 3	 3	SYBR	  1	    63522	57.0
 1	R	 3	 3	SYBR	  1	    63572	57.0
 1	R	 3	 3	SYBR	  1	    63553	57.2
 1	R	 3	 3	SYBR	  1	    63554	57.2
 1	R	 3	 3	SYBR	  1	    63602	57.3
 1	R	 3	 3	SYBR	  1	    63490	57.5
 1	R	 3	 3	SYBR	  1	    63551	57.6
 1	R	 3	 3	SYBR	  1	    63530	57.7
 1	R	 3	 3	SYBR	  1	    63592	57.7
 1	R	 3	 3	SYBR	  1	    63525	57.8
 1	R	 3	 3	SYBR	  1	    63594	58.1
 1	R	 3	 3	SYBR	  1	    63632	58.2
 1	R	 3	 3	SYBR	  1	    63605	58.2
 1	R	 3	 3	SYBR	  1	    63583	58.3
 1	R	 3	 3	SYBR	  1	    63698	58.5
 1	R	 3	 3	SYBR	  1	    63829	58.7
 1	R	 3	 3	SYBR	  1	    63630	58.7
 1	R	 3	 3	SYBR	  1	    63683	58.7
 1	R	 3	 3	SYBR	  1	    63578	59.0
 1	R	 3	 3	SYBR	  1	    63651	59.2
 1	R	 3	 3	SYBR	  1	    63668	59.2
 1	R	 3	 3	SYBR	  1	    63654	59.2
 1	R	 3	 3	SYBR	  1	    63616	59.5
 1	R	 3	 3	SYBR	  1	    63690	59.6
 1	R	 3	 3	SYBR	  1	    63549	59.7
 1	R	 3	 3	SYBR	  1	    63719	59.7
 1	R	 3	 3	SYBR	  1	    63726	60.0
 1	R	 3	 3	SYBR	  1	    63720	60.1
 1	R	 3	 3	SYBR	  1	    63715	60.2
 1	R	 3	 3	SYBR	  1	    63634	60.2
 1	R	 3	 3	SYBR	  1	    63750	60.5
 1	R	 3	 3	SYBR	  1	    63782	60.6
 1	R	 3	 3	SYBR	  1	    63805	60.7
 1	R	 3	 3	SYBR	  1	    63780	60.7
 1	R	 3	 3	SYBR	  1	    63738	61.0
 1	R	 3	 3	SYBR	  1	    63791	61.1
 1	R	 3	 3	SYBR	  1	    63802	61.2
 1	R	 3	 3	SYBR	  1	    63730	61.2
 1	R	 3	 3	SYBR	  1	    63872	61.5
 1	R	 3	 3	SYBR	  1	    63849	61.6
 1	R	 3	 3	SYBR	  1	    63821	61.7
 1	R	 3	 3	SYBR	  1	    63723	61.7
 1	R	 3	 3	SYBR	  1	    63758	61.8
