Well 	Well Type 	  dR Last 	Threshold (dR) 	Ct (dR) 	Quantity (copies) 	RSq (dR) 	Slope (dR) 	Efficiency (%) 	
 B12 	  Unknown 	55686.188 	      8203.069 	  24.79 	       1.370e+003 	   0.985 	    -3.079 	         111.2 	
  C1 	  Unknown 	56760.953 	      8203.069 	  14.55 	       2.907e+006 	   0.985 	    -3.079 	         111.2 	
  C2 	  Unknown 	56024.660 	      8203.069 	  23.49 	       3.623e+003 	   0.985 	    -3.079 	         111.2 	
  C3 	  Unknown 	55277.772 	      8203.069 	  28.85 	       6.558e+001 	   0.985 	    -3.079 	         111.2 	
  C4 	  Unknown 	47130.579 	      8203.069 	  26.93 	       2.776e+002 	   0.985 	    -3.079 	         111.2 	
  C5 	      NTC 	57214.758 	      8203.069 	  32.89 	             3.22 	   0.985 	    -3.079 	         111.2 	
  C6 	 Standard 	54340.894 	      8203.069 	  18.08 	        1.95e+005 	   0.985 	    -3.079 	         111.2 	
  C7 	  Unknown 	57211.922 	      8203.069 	  19.11 	       9.567e+004 	   0.985 	    -3.079 	         111.2 	
  C8 	  Unknown 	57024.255 	      8203.069 	  29.55 	       3.912e+001 	   0.985 	    -3.079 	         111.2 	
  C9 	  Unknown 	55169.973 	      8203.069 	  21.62 	       1.471e+004 	   0.985 	    -3.079 	         111.2 	
 C10 	  Unknown 	55190.251 	      8203.069 	  21.34 	       1.809e+004 	   0.985 	    -3.079 	         111.2 	
 C11 	  Unknown 	51362.863 	      8203.069 	  30.26 	       2.300e+001 	   0.985 	    -3.079 	         111.2 	
 C12 	  Unknown 	55415.964 	      8203.069 	  22.15 	       9.858e+003 	   0.985 	    -3.079 	         111.2 	
  D1 	  Unknown 	55016.699 	      8203.069 	  21.64 	       1.449e+004 	   0.985 	    -3.079 	         111.2 	
  D2 	      NTC 	55839.647 	      8203.069 	  33.81 	             1.61 	   0.985 	    -3.079 	         111.2 	
  D3 	  Unknown 	55660.126 	      8203.069 	  22.20 	       9.480e+003 	   0.985 	    -3.079 	         111.2 	
  D4 	  Unknown 	50431.988 	      8203.069 	  21.28 	       1.887e+004 	   0.985 	    -3.079 	         111.2 	
  D5 	  Unknown 	56379.790 	      8203.069 	  32.21 	             5.33 	   0.985 	    -3.079 	         111.2 	
  D6 	 Standard 	55691.308 	      8203.069 	  21.34 	        1.95e+004 	   0.985 	    -3.079 	         111.2 	
  D7 	  Unknown 	56753.638 	      8203.069 	  23.93 	       2.609e+003 	   0.985 	    -3.079 	         111.2 	
  D8 	  Unknown 	55991.347 	      8203.069 	  26.18 	       4.854e+002 	   0.985 	    -3.079 	         111.2 	
  D9 	  Unknown 	55420.784 	      8203.069 	  19.75 	       5.955e+004 	   0.985 	    -3.079 	         111.2 	
 D10 	  Unknown 	56323.527 	      8203.069 	  18.41 	       1.618e+005 	   0.985 	    -3.079 	         111.2 	
 D11 	  Unknown 	54473.438 	      8203.069 	  25.13 	       1.066e+003 	   0.985 	    -3.079 	         111.2 	
 D12 	  Unknown 	52960.262 	      8203.069 	  25.41 	       8.600e+002 	   0.985 	    -3.079 	         111.2 	
  E1 	  Unknown 	26246.317 	      8203.069 	  26.73 	       3.207e+002 	   0.985 	    -3.079 	         111.2 	
  E2 	  Unknown 	55799.701 	      8203.069 	  26.90 	       2.835e+002 	   0.985 	    -3.079 	         111.2 	
  E3 	      NTC 	56901.833 	      8203.069 	  32.96 	             3.05 	   0.985 	    -3.079 	         111.2 	
  E4 	  Unknown 	56637.791 	      8203.069 	  21.24 	       1.957e+004 	   0.985 	    -3.079 	         111.2 	
  E5 	  Unknown 	56405.265 	      8203.069 	  24.15 	       2.210e+003 	   0.985 	    -3.079 	         111.2 	
  E6 	 Standard 	56768.589 	      8203.069 	  25.12 	        1.95e+003 	   0.985 	    -3.079 	         111.2 	
  E7 	  Unknown 	55429.146 	      8203.069 	  19.81 	       5.693e+004 	   0.985 	    -3.079 	         111.2 	
  E8 	  Unknown 	53924.698 	      8203.069 	  28.70 	       7.339e+001 	   0.985 	    -3.079 	         111.2 	
  E9 	  Unknown 	55155.122 	      8203.069 	  19.67 	       6.329e+004 	   0.985 	    -3.079 	         111.2 	
 E10 	  Unknown 	55959.072 	      8203.069 	  23.24 	       4.362e+003 	   0.985 	    -3.079 	         111.2 	
 E11 	  Unknown 	54534.945 	      8203.069 	  27.30 	       2.098e+002 	   0.985 	    -3.079 	         111.2 	
 E12 	  Unknown 	55376.328 	      8203.069 	  22.60 	       7.047e+003 	   0.985 	    -3.079 	         111.2 	
  F1 	  Unknown 	51720.891 	      8203.069 	  27.93 	       1.310e+002 	   0.985 	    -3.079 	         111.2 	
  F2 	  Unknown 	52766.947 	      8203.069 	  17.91 	       2.351e+005 	   0.985 	    -3.079 	         111.2 	
  F3 	  Unknown 	54945.371 	      8203.069 	  26.00 	       5.556e+002 	   0.985 	    -3.079 	         111.2 	
  F4 	  Unknown 	55581.880 	      8203.069 	  20.75 	       2.822e+004 	   0.985 	    -3.079 	         111.2 	
  F5 	  Unknown 	54480.563 	      8203.069 	  29.46 	       4.171e+001 	   0.985 	    -3.079 	         111.2 	
  F6 	 Standard 	56386.505 	      8203.069 	  28.35 	        1.95e+002 	   0.985 	    -3.079 	         111.2 	
  F7 	  Unknown 	56555.300 	      8203.069 	  27.10 	       2.439e+002 	   0.985 	    -3.079 	         111.2 	
  F8 	  Unknown 	56500.530 	      8203.069 	  19.59 	       6.725e+004 	   0.985 	    -3.079 	         111.2 	
  F9 	  Unknown 	57348.858 	      8203.069 	  24.40 	       1.832e+003 	   0.985 	    -3.079 	         111.2 	
 F10 	  Unknown 	56693.236 	      8203.069 	  25.48 	       8.175e+002 	   0.985 	    -3.079 	         111.2 	
 F11 	  Unknown 	56539.604 	      8203.069 	  22.74 	       6.336e+003 	   0.985 	    -3.079 	         111.2 	
 F12 	  Unknown 	55794.094 	      8203.069 	  26.02 	       5.448e+002 	   0.985 	    -3.079 	         111.2 	
  G1 	  Unknown 	58804.881 	      8203.069 	  27.14 	       2.358e+002 	   0.985 	    -3.079 	         111.2 	
  G2 	  Unknown 	56418.364 	      8203.069 	  21.08 	       2.192e+004 	   0.985 	    -3.079 	         111.2 	
  G3 	  Unknown 	54043.668 	      8203.069 	  28.81 	       6.766e+001 	   0.985 	    -3.079 	         111.2 	
  G4 	  Unknown 	57269.355 	      8203.069 	  27.86 	       1.378e+002 	   0.985 	    -3.079 	         111.2 	
  G5 	  Unknown 	55501.519 	      8203.069 	  27.24 	       2.191e+002 	   0.985 	    -3.079 	         111.2 	
  G6 	 Standard 	56520.268 	      8203.069 	  31.30 	        1.95e+001 	   0.985 	    -3.079 	         111.2 	
  G7 	  Unknown 	55207.441 	      8203.069 	  26.64 	       3.442e+002 	   0.985 	    -3.079 	         111.2 	
  G8 	      NTC 	56586.895 	      8203.069 	  32.83 	             3.36 	   0.985 	    -3.079 	         111.2 	
  G9 	  Unknown 	55310.375 	      8203.069 	  31.15 	       1.179e+001 	   0.985 	    -3.079 	         111.2 	
 G10 	  Unknown 	56089.524 	      8203.069 	  19.89 	       5.361e+004 	   0.985 	    -3.079 	         111.2 	
 G11 	  Unknown 	55702.714 	      8203.069 	  26.24 	       4.644e+002 	   0.985 	    -3.079 	         111.2 	
 G12 	  Unknown 	52172.332 	      8203.069 	  33.13 	             2.68 	   0.985 	    -3.079 	         111.2 	
  H1 	  Unknown 	46251.857 	      8203.069 	  27.01 	       2.611e+002 	   0.985 	    -3.079 	         111.2 	
  H2 	  Unknown 	55189.396 	      8203.069 	  23.78 	       2.917e+003 	   0.985 	    -3.079 	         111.2 	
  H3 	  Unknown 	56233.761 	      8203.069 	  22.97 	       5.355e+003 	   0.985 	    -3.079 	         111.2 	
  H4 	  Unknown 	51839.780 	      8203.069 	  27.41 	       1.934e+002 	   0.985 	    -3.079 	         111.2 	
  H5 	  Unknown 	56498.995 	      8203.069 	  28.31 	       9.824e+001 	   0.985 	    -3.079 	         111.2 	
  H6 	 Standard 	55742.249 	      8203.069 	  31.73 	        1.95e+000 	   0.985 	    -3.079 	         111.2 	
  H7 	  Unknown 	57146.831 	      8203.069 	  34.02 	             1.38 	   0.985 	    -3.079 	         111.2 	
  H8 	  Unknown 	55601.411 	      8203.069 	  27.53 	       1.770e+002 	   0.985 	    -3.079 	         111.2 	
  H9 	  Unknown 	55976.939 	      8203.069 	  23.71 	       3.076e+003 	   0.985 	    -3.079 	         111.2 	
 H10 	  Unknown 	56041.192 	      8203.069 	  24.99 	       1.178e+003 	   0.985 	    -3.079 	         111.2 	
 H11 	  Unknown 	56358.040 	      8203.069 	  25.97 	       5.660e+002 	   0.985 	    -3.079 	         111.2 	
 H12 	  Unknown 	54424.605 	      8203.069 	  25.92 	       5.901e+002 	   0.985 	    -3.079 	         111.2 	
