Segment	Ramp/Plateau	Ramp/Plateau #	Well	Dye	Cycle #	Fluorescence	Temperature
1	R	3	2	SYBR	1	60753	75.5
1	R	3	2	SYBR	1	60737	75.7
1	R	3	2	SYBR	1	60722	75.7
1	R	3	2	SYBR	1	60675	75.9
1	R	3	2	SYBR	1	60580	76
1	R	3	2	SYBR	1	60610	76.2
1	R	3	2	SYBR	1	60550	76.2
1	R	3	2	SYBR	1	60511	76.4
1	R	3	2	SYBR	1	60390	76.5
1	R	3	2	SYBR	1	60475	76.7
1	R	3	2	SYBR	1	60418	76.7
1	R	3	2	SYBR	1	60305	76.9
1	R	3	2	SYBR	1	60362	77
1	R	3	2	SYBR	1	60309	77
1	R	3	2	SYBR	1	60297	77.2
1	R	3	2	SYBR	1	60245	77.4
1	R	3	2	SYBR	1	60269	77.5
1	R	3	2	SYBR	1	60210	77.5
1	R	3	2	SYBR	1	60116	77.7
1	R	3	2	SYBR	1	60150	77.9
1	R	3	2	SYBR	1	59988	78
1	R	3	2	SYBR	1	59893	78
1	R	3	2	SYBR	1	59933	78.2
1	R	3	2	SYBR	1	60020	78.4
1	R	3	2	SYBR	1	59999	78.5
1	R	3	2	SYBR	1	59808	78.5
1	R	3	2	SYBR	1	59734	78.7
1	R	3	2	SYBR	1	59597	78.7
1	R	3	2	SYBR	1	59665	78.9
1	R	3	2	SYBR	1	59431	79
1	R	3	2	SYBR	1	59471	79
1	R	3	2	SYBR	1	59573	79.2
1	R	3	2	SYBR	1	59367	79.4
1	R	3	2	SYBR	1	59425	79.5
1	R	3	2	SYBR	1	59286	79.7
1	R	3	2	SYBR	1	59380	79.7
1	R	3	2	SYBR	1	59134	79.9
1	R	3	2	SYBR	1	59253	80
1	R	3	2	SYBR	1	59139	80.2
1	R	3	2	SYBR	1	59049	80.2
1	R	3	2	SYBR	1	58985	80.4
1	R	3	2	SYBR	1	58992	80.5
1	R	3	2	SYBR	1	58923	80.5
1	R	3	2	SYBR	1	58883	80.7
1	R	3	2	SYBR	1	58870	80.9
1	R	3	2	SYBR	1	58903	81
1	R	3	2	SYBR	1	58624	81
1	R	3	2	SYBR	1	58638	81.2
1	R	3	2	SYBR	1	58539	81.4
1	R	3	2	SYBR	1	58537	81.5
1	R	3	2	SYBR	1	58520	81.5
1	R	3	2	SYBR	1	58457	81.7
1	R	3	2	SYBR	1	58368	81.7
1	R	3	2	SYBR	1	58334	82
1	R	3	2	SYBR	1	58208	82
1	R	3	2	SYBR	1	58229	82.2
