Well 	Well Type 	  dR Last 	Threshold (dR) 	Ct (dR) 	Quantity (copies) 	RSq (dR) 	Slope (dR) 	Efficiency (%) 	
  G8 	  Unknown 	28602.900 	      4633.448 	  10.26 	       3.667e+007 	   0.994 	    -3.288 	         101.4 	
  G9 	  Unknown 	34015.932 	      4633.448 	  15.14 	       1.203e+006 	   0.994 	    -3.288 	         101.4 	
 G10 	  Unknown 	33778.486 	      4633.448 	  19.60 	       5.295e+004 	   0.994 	    -3.288 	         101.4 	
 G11 	  Unknown 	32929.471 	      4633.448 	  21.89 	       1.066e+004 	   0.994 	    -3.288 	         101.4 	
 G12 	  Unknown 	39154.601 	      4633.448 	  15.09 	       1.247e+006 	   0.994 	    -3.288 	         101.4 	
  H2 	 Standard 	35878.143 	      4633.448 	  29.71 	        1.95e+001 	   0.994 	    -3.288 	         101.4 	
  H3 	  Unknown 	35644.023 	      4633.448 	  17.63 	       2.116e+005 	   0.994 	    -3.288 	         101.4 	
  H4 	  Unknown 	41768.436 	      4633.448 	  25.64 	       7.714e+002 	   0.994 	    -3.288 	         101.4 	
  H5 	  Unknown 	31922.161 	      4633.448 	  11.94 	       1.131e+007 	   0.994 	    -3.288 	         101.4 	
  H6 	  Unknown 	35539.210 	      4633.448 	  18.56 	       1.097e+005 	   0.994 	    -3.288 	         101.4 	
  H7 	  Unknown 	40734.264 	      4633.448 	  10.85 	       2.440e+007 	   0.994 	    -3.288 	         101.4 	
  H8 	  Unknown 	36671.217 	      4633.448 	  13.49 	       3.844e+006 	   0.994 	    -3.288 	         101.4 	
  H9 	  Unknown 	35173.617 	      4633.448 	  14.73 	       1.604e+006 	   0.994 	    -3.288 	         101.4 	
 H10 	  Unknown 	32820.027 	      4633.448 	  10.88 	       2.375e+007 	   0.994 	    -3.288 	         101.4 	
 H11 	  Unknown 	30766.159 	      4633.448 	   9.67 	       5.576e+007 	   0.994 	    -3.288 	         101.4 	
 H12 	  Unknown 	36993.765 	      4633.448 	  28.67 	       9.245e+001 	   0.994 	    -3.288 	         101.4 	
