Well 	Well Type 	R Last 	  dR Last 	Threshold (dR) 	Ct (dR) 	Quantity (copies) 	RSq (dR) 	Slope (dR) 	Efficiency (%) 	
  D6 	  Unknown 	 63026 	54733.650 	      7783.313 	  25.13 	       1.885e+003 	   0.998 	    -3.503 	          93.0 	
  D7 	 Standard 	 64394 	52700.585 	      7783.313 	  17.83 	        1.95e+005 	   0.998 	    -3.503 	          93.0 	
  D8 	  Unknown 	 64509 	43737.825 	      7783.313 	  26.38 	       8.296e+002 	   0.998 	    -3.503 	          93.0 	
  D9 	  Unknown 	 63883 	55120.309 	      7783.313 	  23.49 	       5.558e+003 	   0.998 	    -3.503 	          93.0 	
 D10 	  Unknown 	 63946 	55368.464 	      7783.313 	  22.73 	       9.155e+003 	   0.998 	    -3.503 	          93.0 	
 D11 	  Unknown 	 63738 	51284.086 	      7783.313 	  27.59 	       3.751e+002 	   0.998 	    -3.503 	          93.0 	
 D12 	  Unknown 	 61888 	54538.267 	      7783.313 	  29.03 	       1.452e+002 	   0.998 	    -3.503 	          93.0 	
  E1 	  Unknown 	  8995 	 1397.909 	      7783.313 	  No Ct 	            No Ct 	   0.998 	    -3.503 	          93.0 	
  E2 	  Unknown 	 62596 	54420.697 	      7783.313 	  25.17 	       1.838e+003 	   0.998 	    -3.503 	          93.0 	
  E3 	  Unknown 	 63876 	54458.910 	      7783.313 	  25.38 	       1.602e+003 	   0.998 	    -3.503 	          93.0 	
  E4 	  Unknown 	 64057 	54698.134 	      7783.313 	  20.07 	       5.271e+004 	   0.998 	    -3.503 	          93.0 	
  E5 	  Unknown 	 64050 	55140.166 	      7783.313 	  27.61 	       3.699e+002 	   0.998 	    -3.503 	          93.0 	
  E6 	  Unknown 	 63943 	54986.044 	      7783.313 	  24.79 	       2.357e+003 	   0.998 	    -3.503 	          93.0 	
  E7 	 Standard 	 63920 	55367.238 	      7783.313 	  21.23 	        1.95e+004 	   0.998 	    -3.503 	          93.0 	
  E8 	  Unknown 	 63145 	54848.972 	      7783.313 	  23.18 	       6.787e+003 	   0.998 	    -3.503 	          93.0 	
  E9 	  Unknown 	 63299 	53993.293 	      7783.313 	  27.09 	       5.221e+002 	   0.998 	    -3.503 	          93.0 	
 E10 	  Unknown 	 63357 	51690.545 	      7783.313 	  26.85 	       6.107e+002 	   0.998 	    -3.503 	          93.0 	
 E11 	      NTC 	 62864 	54915.478 	      7783.313 	  35.20 	             2.52 	   0.998 	    -3.503 	          93.0 	
 E12 	  Unknown 	 62287 	55118.890 	      7783.313 	  26.51 	       7.624e+002 	   0.998 	    -3.503 	          93.0 	
  F1 	  Unknown 	 61156 	50412.068 	      7783.313 	  24.38 	       3.089e+003 	   0.998 	    -3.503 	          93.0 	
  F2 	  Unknown 	 62699 	54294.951 	      7783.313 	  29.10 	       1.390e+002 	   0.998 	    -3.503 	          93.0 	
  F3 	  Unknown 	 62962 	54225.406 	      7783.313 	  24.13 	       3.656e+003 	   0.998 	    -3.503 	          93.0 	
  F4 	  Unknown 	 63207 	54280.599 	      7783.313 	  25.20 	       1.800e+003 	   0.998 	    -3.503 	          93.0 	
  F5 	  Unknown 	 63529 	54872.554 	      7783.313 	  21.09 	       2.690e+004 	   0.998 	    -3.503 	          93.0 	
