Well 	Well Type 	  dR Last 	Threshold (dR) 	Ct (dR) 	Quantity (copies) 	RSq (dR) 	Slope (dR) 	Efficiency (%) 	
 D10 	  Unknown 	30700.338 	      5191.145 	  12.42 	       8.194e+006 	   0.997 	    -3.391 	          97.2 	
 D11 	  Unknown 	34401.448 	      5191.145 	  19.35 	       7.411e+004 	   0.997 	    -3.391 	          97.2 	
 D12 	  Unknown 	27613.112 	      5191.145 	  10.75 	       2.555e+007 	   0.997 	    -3.391 	          97.2 	
  E2 	      NTC 	36769.781 	      5191.145 	  33.04 	             6.81 	   0.997 	    -3.391 	          97.2 	
  E3 	  Unknown 	34748.410 	      5191.145 	  13.34 	       4.403e+006 	   0.997 	    -3.391 	          97.2 	
  E4 	  Unknown 	33901.376 	      5191.145 	  13.18 	       4.890e+006 	   0.997 	    -3.391 	          97.2 	
  E5 	      NTC 	34029.178 	      5191.145 	  31.16 	       2.447e+001 	   0.997 	    -3.391 	          97.2 	
  E6 	  Unknown 	34354.016 	      5191.145 	  30.90 	       2.907e+001 	   0.997 	    -3.391 	          97.2 	
  E7 	 Standard 	36715.870 	      5191.145 	  21.56 	        1.95e+004 	   0.997 	    -3.391 	          97.2 	
  E8 	  Unknown 	37469.301 	      5191.145 	  16.06 	       6.936e+005 	   0.997 	    -3.391 	          97.2 	
  E9 	  Unknown 	35597.853 	      5191.145 	  23.28 	       5.141e+003 	   0.997 	    -3.391 	          97.2 	
 E10 	      NTC 	33659.327 	      5191.145 	  30.96 	       2.797e+001 	   0.997 	    -3.391 	          97.2 	
 E11 	      NTC 	34706.219 	      5191.145 	  31.39 	       2.096e+001 	   0.997 	    -3.391 	          97.2 	
 E12 	  Unknown 	37521.545 	      5191.145 	  16.80 	       4.200e+005 	   0.997 	    -3.391 	          97.2 	
  F2 	  Unknown 	31739.839 	      5191.145 	  11.85 	       1.205e+007 	   0.997 	    -3.391 	          97.2 	
  F3 	  Unknown 	31980.966 	      5191.145 	  11.48 	       1.550e+007 	   0.997 	    -3.391 	          97.2 	
  F4 	  Unknown 	31956.047 	      5191.145 	  29.64 	       6.857e+001 	   0.997 	    -3.391 	          97.2 	
  F5 	  Unknown 	31449.551 	      5191.145 	  11.32 	       1.726e+007 	   0.997 	    -3.391 	          97.2 	
  F6 	  Unknown 	31871.006 	      5191.145 	  11.98 	       1.108e+007 	   0.997 	    -3.391 	          97.2 	
  F7 	 Standard 	34917.342 	      5191.145 	  25.11 	        1.95e+003 	   0.997 	    -3.391 	          97.2 	
  F8 	  Unknown 	34507.454 	      5191.145 	  20.87 	       2.643e+004 	   0.997 	    -3.391 	          97.2 	
  F9 	  Unknown 	35181.326 	      5191.145 	  24.42 	       2.375e+003 	   0.997 	    -3.391 	          97.2 	
 F10 	  Unknown 	33853.473 	      5191.145 	  27.17 	       3.657e+002 	   0.997 	    -3.391 	          97.2 	
 F11 	  Unknown 	33392.254 	      5191.145 	  13.16 	       4.948e+006 	   0.997 	    -3.391 	          97.2 	
 F12 	  Unknown 	31554.515 	      5191.145 	  14.41 	       2.125e+006 	   0.997 	    -3.391 	          97.2 	
  G2 	  Unknown 	23669.325 	      5191.145 	  10.65 	       2.721e+007 	   0.997 	    -3.391 	          97.2 	
  G3 	      NTC 	34197.617 	      5191.145 	  31.22 	       2.351e+001 	   0.997 	    -3.391 	          97.2 	
  G4 	  Unknown 	32651.926 	      5191.145 	  12.73 	       6.658e+006 	   0.997 	    -3.391 	          97.2 	
  G5 	  Unknown 	29424.146 	      5191.145 	  11.93 	       1.140e+007 	   0.997 	    -3.391 	          97.2 	
  G6 	  Unknown 	33783.751 	      5191.145 	  16.96 	       3.765e+005 	   0.997 	    -3.391 	          97.2 	
  G7 	 Standard 	35651.977 	      5191.145 	  28.63 	        1.95e+002 	   0.997 	    -3.391 	          97.2 	
  G8 	  Unknown 	27917.479 	      5191.145 	  10.68 	       2.673e+007 	   0.997 	    -3.391 	          97.2 	
  G9 	  Unknown 	30343.201 	      5191.145 	  12.86 	       6.069e+006 	   0.997 	    -3.391 	          97.2 	
 G10 	  Unknown 	32835.135 	      5191.145 	  15.15 	       1.283e+006 	   0.997 	    -3.391 	          97.2 	
 G11 	  Unknown 	34951.145 	      5191.145 	  12.06 	       1.046e+007 	   0.997 	    -3.391 	          97.2 	
 G12 	  Unknown 	39119.389 	      5191.145 	  16.42 	       5.409e+005 	   0.997 	    -3.391 	          97.2 	
  H2 	  Unknown 	39490.616 	      5191.145 	  22.84 	       6.936e+003 	   0.997 	    -3.391 	          97.2 	
  H3 	  Unknown 	35870.982 	      5191.145 	  27.42 	       3.086e+002 	   0.997 	    -3.391 	          97.2 	
  H4 	  Unknown 	-1627.896 	      5191.145 	  No Ct 	            No Ct 	   0.997 	    -3.391 	          97.2 	
  H5 	  Unknown 	36746.753 	      5191.145 	  13.29 	       4.553e+006 	   0.997 	    -3.391 	          97.2 	
  H6 	  Unknown 	37137.269 	      5191.145 	  13.83 	       3.153e+006 	   0.997 	    -3.391 	          97.2 	
  H7 	 Standard 	37924.798 	      5191.145 	  30.66 	        1.95e+001 	   0.997 	    -3.391 	          97.2 	
  H8 	  Unknown 	39809.692 	      5191.145 	  15.77 	       8.439e+005 	   0.997 	    -3.391 	          97.2 	
  H9 	  Unknown 	34180.584 	      5191.145 	  11.66 	       1.371e+007 	   0.997 	    -3.391 	          97.2 	
 H10 	  Unknown 	36968.802 	      5191.145 	  20.61 	       3.158e+004 	   0.997 	    -3.391 	          97.2 	
 H11 	  Unknown 	32684.014 	      5191.145 	  10.69 	       2.652e+007 	   0.997 	    -3.391 	          97.2 	
 H12 	  Unknown 	39870.949 	      5191.145 	  13.43 	       4.137e+006 	   0.997 	    -3.391 	          97.2 	
