SampleID	Rep	DateStart	RichLevel	Inhibitory	Inhib	CV_log10	qPCR_bact_log10	qPCR_bact_log10_inhib	Richness	Bd_micro_log10	Bd_qPCR_log10	inhibRich	inhibRichFrac	inhibReads	inhibProp	shannon
Non_2020-10-05_3_Rep11	Rep11	2020-10-05	3	0	1	-1.30151281337008	5.53893396604352	0.224233656296496	3	2.09452303796748	2.78541803853632	1	0.333333333333333	0.675844260370905	0.682620329912272	0.767090349365763
Non_2020-10-05_10_Rep11	Rep11	2020-10-05	10	0	1	-0.0449807448495836	6.12707984771346	0.122300931212075	4	0	1.4815668495322	1	0.25	0.325259515570934	0.325911087140766	1.1817124728095
Con_2020-10-05_0_Rep12	Rep12	2020-10-05	0	0	0	-1.52368373991657	0.750217726636308	0	0	2.37354495687407	4.76776562116309	0	0	0	0	0
Inhib_2020-10-05_1_Rep12	Rep12	2020-10-05	1	1	1	-1.46923129486075	1.78645066273932	0.278537434178122	1	0	1.21989032256601	1	1	0.899054524774294	1	0
Inhib_2020-10-05_3_Rep12	Rep12	2020-10-05	3	1	1	-1.39135512814545	2.86078122536192	0.294613328815247	1	1.42527112826868	3.30196705165409	1	1	0.970667384284177	1	0
Inhib_2020-10-05_10_Rep12	Rep12	2020-10-05	10	1	1	-0.00658826508782578	5.02798232695139	0.245378659466118	4	0	0.0169162123654221	3	0.75	0.759457008279454	0.76754087696993	1.06563527204192
Non_2020-10-05_3_Rep12	Rep12	2020-10-05	3	0	0	-1.88791658407729	3.19067294658309	0.0538430633798669	1	0.477391095996268	3.98624095089613	0	0	0.131991233054631	0.135911509849266	0
Non_2020-10-05_10_Rep12	Rep12	2020-10-05	10	0	0	0.0631873600850447	5.66414995010607	0	3	0	1.0794750599114	0	0	0	0	0.933118282753182
Con_2020-08-31_0_Rep2	Rep2	2020-08-31	0	0	0	-1.77097266575652	1.73505592886455	0	0	3.00753541930057	3.3401331018266	0	0	0	0	0
Inhib_2020-08-31_1_Rep2	Rep2	2020-08-31	1	1	1	-0.532227513459861	4.02700821092707	0.297470149571619	1	0	3.6824922290096	1	1	0.983673308032891	1	0
Inhib_2020-08-31_3_Rep2	Rep2	2020-08-31	3	1	1	-0.314308011610507	4.95775841869562	0.295118226712786	2	0.580081832487626	2.33418022741461	2	1	0.97295975606248	1	0.532765842796815
Inhib_2020-08-31_10_Rep2	Rep2	2020-08-31	10	1	1	0.109447297626611	5.77272398730335	0.297196081273401	5	0	2.05237417297312	3	0.6	0.982421875	1	0.871323898517978
Non_2020-08-31_1_Rep2	Rep2	2020-08-31	1	0	0	-1.39854361472042	4.55757360640672	0	3	2.8961581268895	4.17572679494655	0	0	0	0	0.939430460219812
Non_2020-08-31_3_Rep2	Rep2	2020-08-31	3	0	0	-0.337609480775931	5.54432675639311	0.0206451547164043	4	0.131384524672184	3.98972219104943	0	0	0.0486852382192137	0.0488378166623138	1.19943952179081
Non_2020-08-31_10_Rep2	Rep2	2020-08-31	10	0	0	-0.52976923624399	5.49202139911483	0	4	0	3.51504388703025	0	0	0	0	1.13790598479602
Con_2020-09-07_0_Rep3	Rep3	2020-09-07	0	0	0	-1.59726110844619	2.48616963737154	0	0	2.22311874798988	3.61526676989582	0	0	0	0	0
Non_2020-09-07_1_Rep3	Rep3	2020-09-07	1	0	0	-1.58041136436549	4.55963656870852	0	1	1.43175348109575	2.74094502759389	0	0	0	0	0
Non_2020-09-07_3_Rep3	Rep3	2020-09-07	3	0	0	-1.13502770955694	5.59784684551839	0	3	1.87777068004302	2.47462923958992	0	0	0	0	0.992292629567187
Non_2020-09-07_10_Rep3	Rep3	2020-09-07	10	0	0	-0.847881600632576	5.56989998069162	0	6	1.86133574796147	3.10212342715199	0	0	0	0	1.47658278042219
Con_2020-09-07_0_Rep4	Rep4	2020-09-07	0	0	0	-1.46923129486075	0.620744762892981	0	0	2.78473598243213	3.96273197978357	0	0	0	0	0
Inhib_2020-09-07_1_Rep4	Rep4	2020-09-07	1	1	1	-1.47784568271399	3.92657912069999	0.295280235595939	1	0.821529519185622	2.35259570683408	1	1	0.973695884762924	1	0
Inhib_2020-09-07_3_Rep4	Rep4	2020-09-07	3	1	1	-0.828923931315798	4.10836106926841	0.299533949776195	2	2.0210728158143	3.47466128745411	2	1	0.993122306927411	1	0.418719898438188
Inhib_2020-09-07_10_Rep4	Rep4	2020-09-07	10	1	1	-0.335410251547768	5.14363956630839	NA	4	NA	NA	3	0.75	NA	NA	1.10319004726412
Non_2020-09-07_1_Rep4	Rep4	2020-09-07	1	0	0	-1.16784604806702	5.04779509345502	0	2	1.92596980727248	2.61902068446384	0	0	0	0	0.130908078819293
Non_2020-09-07_3_Rep4	Rep4	2020-09-07	3	0	0	-1.32229168318011	5.56856758740704	0	2	1.97629155943854	2.28551983250115	0	0	0	0	0.201457831993681
Non_2020-09-07_10_Rep4	Rep4	2020-09-07	10	0	0	-0.41497817349187	5.31253416989649	0	2	2.49950109308809	2.53941783504673	0	0	0	0	0.685925705942598
Con_2020-09-14_0_Rep5	Rep5	2020-09-14	0	0	0	-2	2.1172657181041	0	0	1.18058581053502	2.84353868371372	0	0	0	0	0
Inhib_2020-09-14_1_Rep5	Rep5	2020-09-14	1	1	0	-1.30442104621476	4.45655375552282	0	1	1.98895950284087	2.77554760179004	0	0	0	0	0
Inhib_2020-09-14_3_Rep5	Rep5	2020-09-14	3	1	1	-0.331665862085847	4.88534172083389	0.219572974087164	2	1.11431693406268	2.56178363533518	1	0.5	0.657955898191713	0.665710762524734	0.562714846919925
Inhib_2020-09-14_10_Rep5	Rep5	2020-09-14	10	1	1	0.053697203074943	5.34523062610708	0.111550468455496	5	0	1.8038718706755	2	0.4	0.292856932283836	0.294419252541419	1.16475210644175
Non_2020-09-14_1_Rep5	Rep5	2020-09-14	1	0	0	-1.59726110844619	4.5951435157046	0	3	2.36111283725095	2.59817783567094	0	0	0	0	0.949065344227895
Non_2020-09-14_3_Rep5	Rep5	2020-09-14	3	0	0	-1.41705328319568	3.78193023117221	0	2	1.90230786144924	3.69803348284058	0	0	0	0	0.679122008090602
Non_2020-09-14_10_Rep5	Rep5	2020-09-14	10	0	1	-1.70017805652499	5.44035346097201	0.230983877159241	5	0.553133389995294	2.81077874172013	1	0.2	0.702095318273233	0.706639678019159	0.855549152721956
Con_2020-09-14_0_Rep6	Rep6	2020-09-14	0	0	0	-1.48663440385569	2.42267702356935	0	0	2.3900753050712	3.86188419887146	0	0	0	0	0
Inhib_2020-09-14_1_Rep6	Rep6	2020-09-14	1	1	1	-1.47351713045084	2.22235282951666	0.254578267398422	3	0	1.28288296303252	2	0.666666666666667	0.797124924073699	1	1.09141626712352
Inhib_2020-09-14_3_Rep6	Rep6	2020-09-14	3	1	1	-0.679969171680908	4.85477375446369	0.29488372582713	2	0	1.98748071674121	2	1	0.971894727739183	1	0.630648702140516
Inhib_2020-09-14_10_Rep6	Rep6	2020-09-14	10	1	1	-0.431863490210762	5.54786450662739	0.175188863438768	6	0	1.42612646606434	4	0.666666666666667	0.4968864717879	0.507865480822679	0.934305476898844
Non_2020-09-14_1_Rep6	Rep6	2020-09-14	1	0	0	-1.50476411025196	5.1090548878989	0	1	0	3.06451725924746	0	0	0	0	0
Non_2020-09-14_3_Rep6	Rep6	2020-09-14	3	0	0	-0.725970507315327	5.27702233985402	0	2	0	NA	0	0	0	0	0.691156237827975
Non_2020-09-14_10_Rep6	Rep6	2020-09-14	10	0	0	-0.63963803622589	5.44532719559484	0	5	0	1.92075898330649	0	0	0	0	1.17032469758936
Con_2020-09-19_0_Rep7	Rep7	2020-09-19	0	0	0	-1.48663440385569	2.59230219617466	0	0	2.34724464863641	3.25905972831788	0	0	0	0	0
Inhib_2020-09-19_1_Rep7	Rep7	2020-09-19	1	1	0	-1.49109637271297	4.53247603434479	NA	2	NA	NA	0	0	NA	NA	0.298292391567456
Inhib_2020-09-19_3_Rep7	Rep7	2020-09-19	3	1	0	-0.630887263683042	5.37714075185464	0	2	0	1.90031410397488	0	0	0	0	0.68623789130085
Inhib_2020-09-19_10_Rep7	Rep7	2020-09-19	10	1	1	-0.0156477398571681	5.80294735651415	0.299057942132433	4	0	1.48650206790534	2	0.5	0.990938945753529	1	0.914125497175059
Non_2020-09-19_1_Rep7	Rep7	2020-09-19	1	0	1	-1.45662185965804	5.15165834124781	0	2	0	1.86538396090134	1	0.5	0	0	0.164549242660568
Non_2020-09-19_3_Rep7	Rep7	2020-09-19	3	0	1	-1.14300273668604	5.76437269162462	0	3	0	1.55996500085257	1	0.333333333333333	0	0	0.0804900098146911
Non_2020-09-19_10_Rep7	Rep7	2020-09-19	10	0	0	-2	4.24058863115555	0.0278822521573339	7	0	2.96311323555411	0	0	0.0663069801661506	0.0676719957450802	1.4839016771432
Con_2020-09-19_0_Rep8	Rep8	2020-09-19	0	0	0	-1.58595562453719	2.57603157202804	0	0	2.65821421380378	4.21404838306853	0	0	0	0	0
Inhib_2020-09-19_1_Rep8	Rep8	2020-09-19	1	1	0	-0.00938985758604482	5.21675034153531	0	1	0	0.774881512348529	0	0	0	0	0
Inhib_2020-09-19_3_Rep8	Rep8	2020-09-19	3	1	1	-0.169233173835267	5.6141384388807	0.232819434387017	3	0	1.99645534041769	2	0.666666666666667	0.709304493753496	0.710990067286127	0.74712314061432
Inhib_2020-09-19_10_Rep8	Rep8	2020-09-19	10	1	1	-0.0509625601627689	5.60926585909058	0.298741798470507	4	0.327573233810183	2.02216804652102	3	0.75	0.989490173739675	1	0.784547059603707
Non_2020-09-19_1_Rep8	Rep8	2020-09-19	1	0	0	-1.24966305974303	5.50711121034741	0	1	0.531764626115059	2.34390986299309	0	0	0	0	0
Non_2020-09-19_10_Rep8	Rep8	2020-09-19	10	0	0	-0.79966639252144	5.19274977816286	0	2	0.69929379375444	2.42860023830172	0	0	0	0	0.682238688602788
Con_2020-09-28_0_Rep9	Rep9	2020-09-28	0	0	0	-1.54346527606212	0.990880946073972	0	0	2.69811744779592	4.46880353612974	0	0	0	0	0
Inhib_2020-09-28_1_Rep9	Rep9	2020-09-28	1	1	0	-0.453525885883846	5.17675591330975	0	1	0	2.43744627783146	0	0	0	0	0
Inhib_2020-09-28_3_Rep9	Rep9	2020-09-28	3	1	1	-0.175693338133175	5.38438880706921	0.0834505848538936	2	0	2.47590866712126	1	0.5	0.211854792966535	0.213435347153878	0.459725946850566
Inhib_2020-09-28_10_Rep9	Rep9	2020-09-28	10	1	1	-0.180931562738229	5.80577480676612	0.291432124745421	4	0	1.36581332374355	3	0.75	0.956284999096797	0.958635140728477	1.20889503090645
Non_2020-09-28_1_Rep9	Rep9	2020-09-28	1	0	0	-1.60302616409998	4.88480776340859	0	1	2.34714693318945	3.71782536239611	0	0	0	0	0
Non_2020-09-28_3_Rep9	Rep9	2020-09-28	3	0	0	0.0303073056262893	5.80932305994254	0	2	0	2.71384370433343	0	0	0	0	0.681114382582879
Non_2020-09-28_10_Rep9	Rep9	2020-09-28	10	0	0	0.104012648790164	5.99263622974963	0	3	0	2.54458428775566	0	0	0	0	0.874071107381303
Inhib_2020-08-31_10_Rep1	Rep1	2020-08-31	10	1	NA	NA	NA	0.278055525203172	NA	1.96122766208314	3.2692433789418	NA	NA	0.896948433420366	1	NA
Non_2020-10-05_0_Rep13	Rep13	2020-10-05	0	0	NA	NA	NA	0	NA	2.84283503883597	NA	NA	NA	0	0	NA
Non_2020-09-19_3_Rep8	Rep8	2020-09-19	3	0	NA	NA	NA	0	NA	0	1.91536257238803	NA	NA	0	0	NA
